Date de coulage,Âge (j),Date du test,Résistance mesurée (MPa),Résistance estimée à 28j (MPa),Fc28 projet,Conforme
13/4/2026,5,18/04/2026,14.0,33.13,25.0,Oui
13/4/2026,5,18/04/2026,14.0,33.13,25.0,Oui
